content,polarity
"Tidak ada yang istimewa dari resto ini.semua standart, baik harga, rasa, design resto. kran wastafelnya aneh.pendek banget jaraknya dari wastafelnya. Karena ramai, resto juga kesannya kotor lantainya. Mungkin belum sempat dibersihkan.",positive
Bagaimanapun juga tetap lebih enak ayam k**. Minumannya saya tidak ada yang suka. Ayam gorengnya biasa saja. Ada saus keju tapi saya tidak suka saus keju di sini.,positive
Adanya saus keju menjadi daya tarik tersendiri Richeese Factory dibandingkan dengan yang lain. Perpaduan antara rasa pedas fire wings dan gurihnya saus keju membuat rasanya sangat enak. Bahkan meskipun makan ayam sampai 2 potong tetapi tidak membuat eneg.,positive
Level 5 harus di cobaa dan gak pake minum hahahahaa Saus keju nyaa enak Chiken wings nya pedessss Dare to try?????!!!!!!!!!!!!!!!!!!!!!,positive
"penasaran dgn firewings yg digadang2 pedesnya mantap akhirnya kami mampir k richeese. pesan paket utk ber2, si aa kecil yg tdk doyan pedas jd pesan yg biasa aja. pas dimakan emang mantapppp. pedasnya nampol, tp saat dicocol dgn saos keju ada sensasi beda. lumer panas di mulut. pokonya harus coba deh!",positive
"tak pernah terpikir pedasnya. sebenarnya agak curang sich, bukan pure cabe, tapi di campur lada. kejunya enak, apalagi klo boleh nambah hehehehe. tempatnya luas, cozy. harganya terjangkau.",positive
"Menu yang sangat enak dan harga yang sangat terjangkau, tempat yang cozy. kombinasi ayam dan keju adalah ide yang unik. tersedia level pedas 1 sampai dengan 5. disarankan untuk tidak memilih level 2 keatas bagi yang tidak menyukai makanan pedas",positive
Kalau kesini harus coba Fire wingsnya karena sangat pedas namun sangat lezat. Saus kejunya menambah lezat ayam nya. Tempat cukup luas dan dengan pemandangan yang cukup bagus,positive
richeese factory adalah restaurat waralaba yang menyajikan ayam dengan rasa pedas dengan berbagai level. sangat cocok untuk anda pecinta rasa pedas.,positive
"Saya kesini buat makan malem, pesan combo fire chicken. Level 2 hot, cemen ya. Ga berani level lebih tinggi. Menurut saya itu uda cukup pedas. Suka banget sama kulit ayamnya dicocol saus keju Richeese lebih enak lagi. Tapi kalo soal daging waralaba sebelah lebih enak.",positive
"Bagi yang menyukai keju, richeese factory dapat menjadi salah satu alternatif untuk mencoba olahan keju dengan cara yang unik, yaitu dicampur dengan ayam bumbu. Saya pribadi, paling suka memesan Fire Wings level 1, dengan bumbu keju tentunya. Bagi saya yang tidak begitu kuat akan kedahsyatan rasa pedas, level 1 dirasa cukup untuk saya. Pernah sekali saya mencoba level 2, dan. Lanjutan",positive
"Makanannya enak-enak, paling suka sandwich-sandwichnya. Lokasi beda gedung dengan gedung utama PVJ, jadi pertamanya agak bingung nyarinya.",positive
"Yang harus dicoba kalau kesini tuh Fire Wingsnya. Ada level 0-5, Mantap deh pedasnya. Restorannya cukup luas, jadi asik buat sambil ngobrol juga. ig & blog: sharetheyumz",positive
"Restoran ini termasuk jenis waralaba baru di bandung, kelebihannya restoran ini menyediakan menu yang lain dari waralaba yang lain tentunya dengan berbagai jenis makanan dengan keju, tempatnya pun cukup luas dan nyaman.",positive
"Padanan ayam dan keju cair cukup enak, krn memberi rasa kenyang, untuk hot chicken wings cukup enak. Untuk pesta ulang tahun anak cukup luas dan open air",negative
"Richseesee Factory di jalan sukajadi , tempat nya stratgis, parkir luas, sayang saya kurang suka Cheese, jadi keluarga saja yang pada pesan makanan nya . saya hanya minum soft drink saja.",positive
"Saya dan suami datang ke outlet di jalan dipati ukur pada hari minggu. Dan antriannya mengular panjang, mungkin karena hari itu adalah hari libur dan jam makan siang, sehingga antriannya panjang. Akhirnya saya dan suami bagi tugas, saya antri di kasir dan suami mencari tempat duduk. Soalnya jika tidak mencari tempat duduk duluan, bisa-bisa kami harus antri lagi, menunggu sampai. Lanjutan",positive
"Ayam level 5 pedes nya luar biasa ditambah sapa keju na yg AD pedes na dikit jadi mantap banget,tempat nya jg nyaman bisa buat nongkrong, waiter nya juga ramah, harga juga termasuk murah dibanding jual food lainnya. Good choice",positive
"SALAH SATU YANG TERBAIK untuk tempat makanan cepat saji adalah Richeese Factory yang kini rupanya sedang digandrungi oleh para penyuka makanan pedas. Pada umumnya, Recheese Factory ini terdapat di banyak mall di Bandung. Restoran cepat saji ini banyak dipilih karena aspek kecepatan dan harganya yang terjangkau tanpa mesti kehilangan eksklusifitasnya. Ada beberapa yang menjadi menu andalan resto fast food ini,. Lanjutan",positive
"Pertama kali nyoba ke Richeese Factory (Minggu, 22 Maret 2015). Sekalian jalan pulang, saya dan pasangan mampir untuk makan siang. Pesan menu 4 Bulgogi Spicy Wings level 1, 1 chicken spicy level 3, 1 strawberry cake in a cup. Rasa ayamnya enak ditambah dengan kelezatan saus kejunya yang pas, minumannya saya nggak tau namanya apa yang pasti ada rasa strawberry. Lanjutan",positive
"Pertama mencoba aym + saus keju, treasa aneh. Tetapi pas datang kedua kali, skrg menjadi biasa dan enak bgt. Ada juga pilihan ayam yang dilumuri saus spesial mereka dgn level2 kepedesan yg berbeda. Enak bet!!",positive
