content,polarity
tiap lewat parkiranny emang ga seberapa rame dibanding tetangganya pas ke sana cuma ada 2 grup tamu apa karena udah malam ya tempatnya luas banget n bagus tapi makanan biasa aja n mahal ya paketan nasi +-42.5k tapi rasa standar kalo mw ngubrul tenang ato mw romantisan dating OK deh,positive
"Lokasi yang strategis tidak menjamin kualitas dari restoran ini. Harga mahal yang sama sekali tidak sesuai dengan kualitas makanan yang disediakan, tidak paham bagaimana manajemen ini bekerja membiarkan juru masak yang tidak kompeten dalam memasak dan menjaga standar makanan yang disediakan. Pelayan tidak cepat tanggap menangani komplen dan terkesan abal - abal. Pelayan tidak menanyakan tingkat kematangan daging steak yang. Lanjutan",negative
Kita disini buat pesta ultah. Pelayanan nya memang sedikit kurang sigap . Makanan sih lumayan harga standar. Tempat enak. Parkir sedang. Bisa gesek kartu untuk pembayaran. Yg paling berkesan adalah live music nya. Band nya keren trus kita bisa ikut nyanyi.,positive
"Saya datang tgl 1 september pas jam makan siang. memakai motor. dari kejauhan saya lihat pegawai nya sudah memperhatikan saya. pas saya masuk ada perempuan paling depan , sepertinya kasir. hanya melihat saya tanpa senyuman atau ucapan selamat datang. dari awal masuk saya dan teman saya bingung krna tidak ada pelayan yang meng'guide kita. kita masuk sampe kedalem. waktu saya. Lanjutan",negative
Mengadakan acara berbuka puasa ini Agustus lalu terasa istimewa. Area resto yang luar dan mushollah yang bersih adalah salah satu kesukaan saya. Menunya juga lezat dan porsinya lumayan. Bumbu nya terasa dan healthy menu. Reservasipun bisa diterima dari 1 hari sebelum berbuka puasa.,positive
"tempatnya lumayan asik, parkiran di susun rapi. Perpaduan yang aneh tapi enak, Steak ditemani Mie Tek Tek super pedas.hmmmm.sayangnya, sekarang dah gak ada menu sundaan n japanesse menu.",positive
"Suasana yang nyaman terutama diseore hari . Menu yang disajikan tergolong cukup variatif dan yang penting adalah rasanya yang rasanya sangat pas di lidah. Harganya cukup lumayan, murah juga ndak mahal sekali juga tidak. Sebanding dengan suasana dan kualitas makanan yang disajikan",positive
"suasana teduh dan nyaman di tengah resto ada kolam ikan dgn ikan-ikan koi yang besar, terdapat western, european and sundanese food",positive
"Tempatnya enak dan nyaman, walaupun suasana kebunnya kurang terasa",positive
tempat yg asik buat santai sama keluarga .kadang enak juga buat meeting disini.playanannya cukup gesit. masakannya enak.parkirnya juga ada valletnya lho.bikin betah deh liat kolam ikan KOi nya,positive
