content,polarity
"Awalnya hanya iseng, cari tempat makan yang ada ramennya di Instagram Bandung Ketemulah dengan si Balista Sushie & Tea ini Coba ramen dengan Mie yang berwarna hitam. Rasanya lumayan masih bersahabat sama lidah, tapi kayaknya kemaren kurang pedes aja (padahal sudah pesan yang lv 4/level terpedas) Untuk menu yang lainnya no komen, karena memang saya pecinta ramen",positive
"Tiap kesini pasti beli ice creamnya, pilihan topingnya banyak dan harganya worth it sama yang di dapet lokasinya juga deket sama tempat shopping jadi bisa istirahat sambil nyantai disitu, mungkin untuk pelayanannya ditingkatkan sedikit.",positive
"Sambil menunggu waktu pergantian thn kita coba kesini. Kita berdua pesen bbrp sushi (jigoku, tobikogunkan, mislove). Minuman nya milktea sama eskrim vanilla dengan batok kelapa. Untuk sushi nya lumayan tapi kebanyakan nasi nya kayanya . Tp rasanya enak. Harganya terjangkau.",positive
"Waktu itu, saya pesan nasi goreng dan es green tea. Nasi gorengnya rasanya ok, yang bikin ilfill itu es green teanya, kaya air gula warna hijau. Jangan pesen itu yah kalo kesini",positive
Batox manisnya enak dan terdapat berbagai macam pilihan topping harganyapun terjangkau. Sushinya enak juga. Pelayanannya cepat hanya memesannya agak ribet. Gak ada wifi. Tapi rasa TOP deh!,positive
"Saat saya datang ke resto ini, saya langsung tergiurkan dengan pilihan es krim dan berbagai macam topping yang lezat, batox manis namanya. Pilihan saya jatuh pada es krim green tea dan coklat serta beberapa topping yang menggoda. Datang ke resto ini dengan teman-teman sembari berbincang-bincang atau bermain game pasti sangat seru. Atau sekedar dengan pasangan untuk ngobrol santai juga sangat. Lanjutan",positive
"Balista sushi & tea, resto dengan gaya rumahan klasik di jalan banda. Satu menu yang menarik perhatian saya, yaitu batox manis. Batox manis bisa dibilang es krim biasa, namun dengan penyajian yang unik. Es krim tersebut disajikan dengan batok kelapa sebagai wadahnya dan ada tambahan parutan kelapa yang membuat ada tambahan rasa creamy dan tropical sensation saat memakan es krim. Lanjutan",positive
"Pelayanan cepat, harga murah, nasi goreng yang jempolan, kebetulan di ruangan berAC. Lokasi Balista yang strategis dan terletak di sebelah Heritage Factory Outlet",positive
"enak banget sushinya cocok buat kalian yang pengen makan sushi sambil nongkrong. pelayanannya ramah, dessertnya enak banget. recomended buat anak gaol",positive
"Restoran yang terbilang baru, letaknya dekat FO di jalan riau, tidak hanya menjual sushi tapi ada menu dessertnya juga yang rasanya tidak kalah enak. Harganya juga cukup terjangkau. Tempatnya tidak terlalu besar tapi cukup nyaman",positive
Menemukan cafe ini di sebelah Heritage FO.harga terjangkau dan rasanya enak Rekomendasi : 1. Nasi Goreng Kampung 2. Miso Chicken Katsu 3. Japanese Matcha Milk Tea,positive
