content,polarity
"makanannya ok, suasanannya ok banget. buat bawa keluarga asiiik banget Cozy environment and good services.",positive
"Late post - saya dan keluarga sangat menikmati pengalaman berbuka puasa di restaurant hotel Sheraton Bandung. Makanan sangat bervariasi dari lokal dan internasional (terlalu banyak untuk disebutkan satu persatu; grilled item, sushi corner, seafood-noodle corner, and so much more.). Yang terbaik adalah pelayanan hangat dari para hotelier-front liner restaurant yang mengorbankan waktu untuk kepuasan para tamu, compliment untuk Pak Atep. Lanjutan",positive
saat acara buka bersama kemarin servicenya baguz tetapi jenis makanannya kurang suasananya nyaman apalagi saat ada di balkon. perbanyak lagi jenis makanannya,positive
"saya sangat suka tempat ini. selain disainnya yang apik, makanan yang terhidang sangat variatif. mulai dari local foods sampai makanan internasional. jika datang kesini, perut harus dikosongkan supaya makanan yang tersaji bisa dinikmati semua. Makanan, minuman, buah2an serta dessertnya angat maknyusss.",positive
"Berada di Sheraton Bandung, seperti halnya Sheraton, Feast juga memberikan pelayanan dan keramah tamahan terbaik. Makanan yang disuguhkan sangat beragam dan semuanya enak. Kunjungan saat itu sebagai rombongan, Chef restoran menghampiri kami dan menanyakan apakah dari kami ada pengkonsumsi gluten free, untuk kemudian diperkenalkan menu apa saja yang mereka miliki yang bebas gluten. Makanan khas asia dan eropa semua ada. Lanjutan",positive
"Di hari perayaan 1 tahun perkawinan kami, kami ingin menghabiskan waktu untuk mencoba sunday brunch di feast sheraton. Kami banyak mendengar review baik mengenai sunday brunch di feast. Reversasi kami lakukan 1 minggu sebelumnya, dan ternyata memang dibutuhkan reservasi terlebih dahulu. Ada banyak sekali meja yang telah reserved, selain itu ada pulang tamu yang sedang merayakan ulang tahun disana. Pilihan. Lanjutan",positive
"restoran ini berada di dalam hotel sheraton, bulan lalu saya mengambil paket brunch. kita bisa breakfast lunch all you can eat dengan akses swimming pool. untuk ukuran makanan dsini sangat enak, bintang 5 sih. dan kolam nya juga bersih dengan tempat duduk yang sangat unik. paket brunch ketika itu 198rb ++",positive
"Pengalaman sarapan dan Sunday Brunch yang sangat berkesan. Makanan yang komplit dari berbagai negara, juice corner yang menyajikan fresh juice, made-to-order coffee yang bisa kita pilih sesuai selera, area steak, dan sebagainya. Rekomendasi untuk menghabiskan weekend bersama keluarga.",positive
"makan pagi yang sejuk di udara segar dago, sambil memandang kolam renang di sisi restaurant. Makan pagi yang sangat lezat dan lengkap mulai dari sushi, soup, hidangan asia, salad, dan yang paling terbaik adalah fresh juice nya.",positive
"Resto ini terletak di Sheraton Hotel Bandung. Saya sangat menikmati suasana resto ini karena terletak dekat dengan kolam renang. Sambil menyaksikan anak-anak berenang, kita bisa menikmati breakfast dengan nyaman. Makanannya cukup variatif. ada dimsum juga. Tersedia juga fresh juice. Anak saya paling suka susu coklat dinginnya yang enaak banget. Kata anak saya : ""enak banget, susu coklatnya kaya rasa es. Lanjutan",positive
"Restoran ini menawarkan menu sarapan yang memuaskan. Selain karena pilihannya yang banyak, rasa makanannya juga enak. Saya dengan chefnya baru sehingga membuat influence yang baru juga untuk resto ini, bahkan saat ini mereka menambah corner baru yaitu mexican food. Sempat icip guacamolenya dan enak :) Cakesnya juga ga kalah menarik, dari black forest in a jar, opera cake, cheese cake. Lanjutan",positive
"Sarapannya oke.variatif hampir tiap hari berganti menu dengan suasana bandung utara yang segar dan nyaman, di depan kolam renang.",positive
