content,polarity
"tenpat makan yang wajib di kunjungi oleh para kaula muda. hehhe disini terdapat menu makanan yang memanjakan lidah tapi eiiitsss jangan khawatir, harga nya gak terlalu menguras kantong kok heheh. makan hemat dan enak ya giggle box hhehe",positive
"Salah satu cabang Giggle Box di Bandung. Ciri khasnya sama : tempat nongkrong nyaman, ada smoking area, menu makanan bermacam, harganya pun sesuai. Wajib dicoba : Ice Thai Tea nya, juara!",positive
"Ga salah lagi ini cafe modern salah satu favorit warga bandung buat makan,ngumpul seriusan tempatnya nyaman soalnya.",positive
"Penggemar fotoo wajib ke sini!! Lebih2 para ladies, psti sukaa. Di sini design ruangan ny eye catching bngett cocok buat popopotoan hahahah . eits tpi di sini ga cuma jual tempat doang yg makanan ny ga enakk!! Di sini tempat OK , makanan ny jga ga kalah OK broo!! Jadi cobain dee hahaha",positive
"salah satu resto yang memiliki konsep pedesaan klasik eropa, dengan musik jerman/belanda klasik yang mengiringi kita sepanjang kita bersantap membuat suasana semakin menarik untuk datang kembali ke resto ini daftar menu terdapat berbagai macam pilihan, terbanyak adalah western food tetapi tidak perlu kawatir dikarena ada indonesian food dan asian food yang terdapt di resto ini, secara umum makannya sudah sesuai. Lanjutan",positive
bagi yang suka menu menu barat tempat ini bisa jadi salah satu rekomendasi yang pas untuk sekedar makan atau untuk nongkrong sama teman teman,positive
"Tempatnya lumayan cozy, ada area teras yang asik untuk bersantai sambil melihat2 keramaian di seputar mall. Tersedia colokan listrik di setiap meja yang berada di area dalam, sehingga cafe ini bisa jadi alternatif tempat buat diskusi dengan partner kerja. Menunya cukup lengkap dari makanan ringan hingga berat, dan kebanyakan menu western. Tapi menu indonesia-nya gak kalah top : nasi goreng. Lanjutan",positive
"Cafe dengan menu yang beragam dengan harga yang cukup terjangkau, rasanya pun enak. memiliki banyak cabang juga di bandung",positive
"Giggle box acap kali jadi pilihan kami saat mengunjungi mall Festlink maupun Istana Plaza karena tempatnya yang nyaman untuk mengobrol. Makanan utamanya juga enak dan porsinya pas. Harganya terjangkau, walaupun kelihatannya tempatnya menengah ke atas. Kami juga suka dengan dekorasi vintage-nya, banyak orang mengambil gambar dengan latar belakang dekorasi yang dipajang di Giggle Box. Overall, sangat direkomendasikan untuk brunch/ tea. Lanjutan",positive
"harganya lumayan kompetitif dan letaknya di dalam city link mall, menjual makanan western dan Indonesian",positive
variasi makanan nya cukup banyak dan biasanya pengunjung wanita yg kesini cantik-cantik :p tempat dan dekorasi nya juga unik untuk berfoto bisa di bilang bagus.,positive
